Topic,Mas,Ecs_1,Ecs_2,Ecs_3,Snp,Cnf_1,Cnf_2,Cnf_3,Cnf_4,Sub,Sen,Slc,index,Label_wp,Label_np
Economic development vs environment,0.7184577264,0.756414475,0.6661361002,0.8566171925,0,0,1,0,0,0.9962885267,0.291,36,1280,0,0
Government should spend money on ARTs not only on public services,0.7865113657,0.7865113657,0.6428607044,0.9010963676,0,0,1,0,0,0.3789326283,0,10,1281,0,0
Government should spend money on ARTs not only on public services,0.8789468168,0.8688118475,0.7204631448,0.7831774375,0,0,1,0,0,0.0545546852,0.198,15,1281,0,0
Government should spend money on ARTs not only on public services,0.8789468168,0.8688118475,0.7204631448,0.9010963676,0,0,1,0,0,0.0037556487,0.122,26,1281,0,0
Government should spend money on ARTs not only on public services,0.8398150184,0.8398150184,0.8015775339,0.9010963676,0,0,1,0,0,0.7570707895,0.153,18,1282,0,0
Government should spend money on ARTs not only on public services,0.7865113657,0.7865113657,0.6428607044,0.9010963676,0,0,1,0,0,0.9319603432,0,3,1282,0,0
Government should spend money on ARTs not only on public services,0.8398150184,0.8398150184,0.8015775339,0.7552890145,0,0,0,0,0,0.4781239159,0.195,14,1282,0,0
Government should spend money on ARTs not only on public services,0.8398150184,0.8398150184,0.8015775339,0.9010963676,0,0,1,0,0,0.7556749556,0.139,22,1282,0,0
Government should spend money on ARTs not only on public services,0,0,0,0,0,0,0,0,0,0.9913035482,0,3,1283,1,1
Government should spend money on ARTs not only on public services,0.7148423706,0.8574778411,0.8129278857,0.621021623,0,0,1,0,0,0.4084794688,0,11,1283,1,1
Government should spend money on ARTs not only on public services,0.7106261706,0.7367986504,0.6196985942,0.8094881905,0,0,0,0,0,0.7617530682,0.512,5,1283,1,1
Government should spend money on ARTs not only on public services,0.7148423706,0.8574778411,0.8129278857,0.621021623,0,0,1,0,0,0.3574924454,0.116,22,1283,1,1
Government should spend money on ARTs not only on public services,0.8352655369,0.8499663606,0,0.8825326614,0,0,0,0,0,0.1379061601,0,11,1284,1,0
Government should spend money on ARTs not only on public services,0.8352655369,0.8499663606,0,0.8825326614,0,0,0,0,0,0.1063698516,0,13,1284,1,0
Government should spend money on ARTs not only on public services,0.8633858204,0.8499663606,0,0.8825326614,0,0,1,0,0,0.023418508,0.154,13,1285,1,0
Government should spend money on ARTs not only on public services,0.8739733782,0,0,0,0,0,1,0,0,0.5998427099,0.322,20,1285,1,0
Government should spend money on ARTs not only on public services,0.8633858204,0.8499663606,0.7314848635,0.8825326614,0,0,1,0,0,0.0040480833,0.262,34,1285,1,0
Government should spend money on ARTs not only on public services,0.7440625951,0.9025736803,0.826937555,0,0,0,0,0,0,0.2268079395,0.225,12,1286,1,0
Government should spend money on ARTs not only on public services,0,0,0,0,0,0,0,0,0,0.3715156895,0.333,5,1286,1,0
Government should spend money on ARTs not only on public services,0,0,0,0,0,0,0,0,0,0.0574603331,0.545,3,1286,1,0
Government should spend money on ARTs not only on public services,0.8538275074,0,0,0,0,0,1,0,0,0.8307048689,0.452,5,1286,1,0
Government should spend money on ARTs not only on public services,0.8739733782,0,0,0,0,0,0,0,0,0.7901134888,0.588,7,1286,1,0
Government should spend money on ARTs not only on public services,0.8739733782,0.9025736803,0.826937555,0,0,0,1,0,0,8.07478909818E-06,0.392,37,1286,1,0
Government should spend money on ARTs not only on public services,0.7440625951,0.9025736803,0.826937555,0.7854952221,0,0,0,0,0,0.3673024843,0.112,17,1287,1,1
Government should spend money on ARTs not only on public services,0.7440625951,0.9025736803,0.826937555,0.7854952221,0,0,0,0,0,0.3016641452,0.106,19,1287,1,1
Government should spend money on ARTs not only on public services,0,0,0,0,0,0,0,0,0,0.5817365068,0.516,4,1288,1,1
Government should spend money on ARTs not only on public services,0.7148423706,0.8574778411,0.8129278857,0.621021623,0,0,1,0,0,0.9129847901,0.348,13,1288,1,1
Government should spend money on ARTs not only on public services,0.7148423706,0.8574778411,0.8129278857,0.621021623,0,0,1,0,0,0.6540203127,0.4,18,1288,1,1
Government should spend money on ARTs not only on public services,0.4678472015,0.7298154621,0.8129278857,0.621021623,0,0,0,0,0,0.765943185,0,4,1289,1,0
Government should spend money on ARTs not only on public services,0.4678472015,0.7298154621,0.8129278857,0.621021623,0,0,0,0,0,0.0761062158,0,10,1289,1,0
Government should spend money on ARTs not only on public services,0.7865113657,0.7865113657,0.6428607044,0.9010963676,0,0,1,0,0,0.0041996966,0,15,1290,1,0
Government should spend money on ARTs not only on public services,0.7865113657,0.7865113657,0.6428607044,0.9010963676,0,0,1,1,0,0.0031283585,0,17,1290,1,0
Government should spend money on ARTs not only on public services,0.8789468168,0,0,0,0,0,1,0,0,0.9664512658,0.318,7,1291,1,0
Government should spend money on ARTs not only on public services,0.5524552495,0.8595991579,0.7069181689,0.8195550138,0,0,0,0,0,0.0693267018,0.343,12,1291,1,0
Government should spend money on ARTs not only on public services,0.8789468168,0.4945888436,0.3714631382,0.7893648778,0,0,1,0,0,0.1868446921,0.319,22,1291,1,0
Government should spend money on ARTs not only on public services,0.7865113657,0.7865113657,0.6428607044,0.9010963676,0,0,1,0,0,0.9670909677,0.568,10,1292,1,0
Government should spend money on ARTs not only on public services,0.7865113657,0.7865113657,0.6428607044,0.9010963676,0,0,1,0,0,0.934915186,0.497,13,1292,1,0
Government should spend money on ARTs not only on public services,0,0,0,0,0,0,0,0,0,0.2490457061,0,7,1293,1,1
Government should spend money on ARTs not only on public services,0.4678472015,0.7298154621,0.8129278857,0.621021623,0,0,1,0,0,0.0643996082,0.225,12,1293,1,1
Government should spend money on ARTs not only on public services,0.4678472015,0.7298154621,0.8129278857,0.621021623,0,0,1,0,0,0.0349916226,0.146,20,1293,1,1
Government should spend money on ARTs not only on public services,0.4620566767,0.4620566767,0.6933145847,0,0,0,1,0,0,0.641982806,0,9,1294,1,0
Government should spend money on ARTs not only on public services,0.4620566767,0.4620566767,0.6933145847,0,0,0,1,0,0,0.641982806,0,9,1294,1,0
Government should spend money on ARTs not only on public services,0.8633858204,0.7298154621,0.8129278857,0.621021623,0,0,1,0,0,0.3975431634,0.167,14,1295,1,0
Government should spend money on ARTs not only on public services,0.8739733782,0.7865113657,0.6428607044,0.9010963676,0,0,1,0,0,0.8002913812,0.077,22,1295,1,0
Government should spend money on ARTs not only on public services,0.8633858204,0.7865113657,0.8129278857,0.9010963676,0,0,1,0,0,0.7857029041,0.096,37,1295,1,0
Government should spend money on ARTs not only on public services,0.4678472015,0.7298154621,0.8129278857,0.621021623,0,0,1,0,0,0.550835123,0,7,1296,1,0
Government should spend money on ARTs not only on public services,0.4678472015,0.7298154621,0.8129278857,0.621021623,0,0,1,0,0,0.5819105755,0,11,1296,1,0
Government should spend money on ARTs not only on public services,0,0,0,0,0,0,0,0,0,0.89461632,0.403,5,1297,1,1
Government should spend money on ARTs not only on public services,0.7440625951,0.9025736803,0.826937555,0.7854952221,0,0,1,0,0,0.8096450341,0,17,1297,1,1
Government should spend money on ARTs not only on public services,0.7148423706,0.8574778411,0.4958995505,0,0,0,0,0,0,0.9967976809,0,3,1297,1,1
Government should spend money on ARTs not only on public services,0.7440625951,0.9025736803,0.826937555,0.7854952221,0,0,1,0,0,0.0521528419,0,13,1297,1,1
Government should spend money on ARTs not only on public services,0.7440625951,0.9025736803,0.826937555,0.7854952221,0,0,1,0,0,0.7945045054,0.124,23,1297,1,1
Government should spend money on ARTs not only on public services,0,0,0,0,0,0,0,0,0,0.8351874579,0,4,1298,1,1
Government should spend money on ARTs not only on public services,0.749849113,0.8352655369,0.8129278857,0.8825326614,0,0,1,0,0,0.6384045114,0.4,16,1298,1,1
Government should spend money on ARTs not only on public services,0.749849113,0.8352655369,0.8129278857,0.8825326614,0,0,1,0,0,0.5368106487,0.333,21,1298,1,1
Keeping animals in zoos,0.7747711103,0.5419400211,0.5537476485,0,0,0,1,0,0,0.4747912709,0.304,14,1299,0,0
Keeping animals in zoos,0.7747711103,0.5419400211,0.5537476485,0,0,0,1,0,0,0.4747912709,0.304,14,1299,0,0
Keeping animals in zoos,0.7733133514,0.7733133514,0.5537476485,0,0,0,1,0,0,0.9999630497,0.357,11,1300,0,0
Keeping animals in zoos,0.8750948622,0.8195391221,0.7568107164,0.8458159935,0,0,1,0,0,0.6901692142,0.274,11,1300,0,0
Keeping animals in zoos,0.7733133514,0.7733133514,0,0,0,0,1,0,0,0.9829419857,0,2,1300,0,0
Keeping animals in zoos,0.6521731325,0.5419400211,0.5537476485,0,0,0,0,0,0,0.9994714908,0.454,8,1300,0,0
Keeping animals in zoos,0.7116556868,0,0,0,0,0,1,0,0,0.9242667411,0,2,1300,0,0
Keeping animals in zoos,0.8750948622,0.8195391221,0.7568107164,0.8458159935,0,0,1,0,0,0.4236224857,0.361,8,1300,0,0
Keeping animals in zoos,0.8750948622,0.8195391221,0.7568107164,0.8458159935,0,0,1,0,0,0.9997327197,0.306,25,1300,0,0
Keeping animals in zoos,0.4916599775,0.777564135,0.6665106431,0.6607477711,0,0,1,0,0,0.918068511,0,12,1301,0,0
Keeping animals in zoos,0.4916599775,0.777564135,0.6665106431,0.6607477711,0,0,1,0,0,0.918068511,0,12,1301,0,0
Keeping animals in zoos,0.8750948622,0.8195391221,0.7568107164,0.8458159935,0,0,1,0,0,0.7186670772,0.355,17,1302,1,1
Keeping animals in zoos,0.7747711103,0.6377183333,0.7568107164,0.7712681791,0,0,1,0,0,0.4778825256,0.296,12,1302,1,1
Keeping animals in zoos,0.4280568049,0.1128270385,0.6322238483,0.3647462591,0,0,1,0,0,0.8884066957,0.697,4,1302,1,1
Keeping animals in zoos,0.8750948622,0.8195391221,0.7568107164,0.8458159935,0,0,1,0,0,0.5637126421,0.22,12,1302,1,1
Keeping animals in zoos,0.8750948622,0.8195391221,0.7568107164,0.8458159935,0,0,1,0,0,0.0244465076,0.331,30,1302,1,1
Keeping animals in zoos,0.6858079882,0,0,0,0,0,1,0,0,0.0250629908,0.255,22,1303,1,0
Keeping animals in zoos,0.6858079882,0,0,0,0,0,1,0,0,0.0250629908,0.255,22,1303,1,0
Keeping animals in zoos,0,0,0,0,0,0,1,0,0,0.6271860646,0,6,1304,1,0
Keeping animals in zoos,0.8750948622,0.8195391221,0.7568107164,0.8458159935,0,0,0,0,0,0.6811966931,0.226,11,1304,1,0
Keeping animals in zoos,0.8750948622,0.8195391221,0.7568107164,0.8458159935,0,0,1,0,0,0.6933251057,0.116,25,1304,1,0
Keeping animals in zoos,0.8750948622,0.8195391221,0.7568107164,0.8458159935,0,0,1,0,0,0.9424350291,0,17,1305,1,0
Keeping animals in zoos,0.8750948622,0.8195391221,0.7568107164,0.8458159935,0,0,1,0,0,0.9424350291,0,17,1305,1,0
Keeping animals in zoos,0.8750948622,0.8195391221,0.7568107164,0.8458159935,0,0,1,1,1,0.0982093347,0,17,1306,1,0
Keeping animals in zoos,0.8750948622,0.8195391221,0.7568107164,0.8458159935,0,0,1,1,1,0.1048336342,0,20,1306,1,0
Keeping animals in zoos,0,0,0,0,0,0,0,0,0,0.5817365068,0.516,4,1307,1,1
Keeping animals in zoos,0.6521731325,0.5419400211,0.6377183333,0.4713105545,0,0,1,0,0,0.9954050384,0.393,22,1307,1,1
Keeping animals in zoos,0,0.3648627661,0.6377183333,0.4713105545,0,0,1,0,0,0.955538139,0,3,1307,1,1
Keeping animals in zoos,0.6521731325,0.5419400211,0.5537476485,0,0,0,1,0,0,0.9710577942,0.458,18,1307,1,1
Keeping animals in zoos,0.6521731325,0.5419400211,0.6377183333,0.4713105545,0,0,1,0,0,0.9750182683,0.415,27,1307,1,1
Keeping animals in zoos,0.6952173322,0.5980770706,0.6483634941,0.6309877167,0,0,1,0,0,0.6032014974,0.393,12,1308,1,0
Keeping animals in zoos,0.8750948622,0.8195391221,0.7568107164,0.8458159935,0,1,1,0,0,0.0202987097,0,15,1308,1,0
Keeping animals in zoos,0,0,0,0,0,0,0,0,0,0.0810214128,0,5,1308,1,0
Keeping animals in zoos,0,0,0,0,0,0,1,0,0,0.4389061879,0,9,1308,1,0
Keeping animals in zoos,0.8750948622,0.8195391221,0.7568107164,0.8458159935,0,1,1,0,0,0.8263521869,0.267,32,1308,1,0
Keeping animals in zoos,0.6521731325,0.5419400211,0.5537476485,0,0,0,1,0,0,0.0993669474,0,14,1309,1,0
Keeping animals in zoos,0.6521731325,0.5419400211,0.5537476485,0,0,0,1,0,0,0.0993669474,0,14,1309,1,0
Keeping animals in zoos,0.6521731325,0.5419400211,0.5537476485,0,0,0,1,0,0,0.3744209502,0.333,20,1310,1,0
Keeping animals in zoos,0.6521731325,0.5419400211,0.5537476485,0,0,0,1,0,0,0.2812849179,0.319,22,1310,1,0
Keeping animals in zoos,0.6858079882,0,0,0,0,0,1,0,0,0.8559044041,0,7,1311,1,0
Keeping animals in zoos,0.8750948622,0.8195391221,0.7568107164,0.8458159935,0,0,1,0,0,0.0117295833,0.121,23,1311,1,0
Keeping animals in zoos,0.6858079882,0,0,0,0,0,1,0,0,0.7748697021,0,6,1311,1,0
Keeping animals in zoos,0.8750948622,0.8195391221,0.7568107164,0.8458159935,0,0,1,0,0,0.0074923038,0.088,34,1311,1,0
Keeping animals in zoos,0.6521731325,0.5419400211,0.5537476485,0,0,0,1,0,0,0.9231748057,0,10,1312,1,0
Keeping animals in zoos,0.6521731325,0.5419400211,0.5537476485,0,0,0,1,0,0,0.9231748057,0,10,1312,1,0
Keeping animals in zoos,0.2548446988,0.531133415,0.5349061986,0.6084698389,0,0,1,0,0,0.9694340857,0.68,7,1313,1,1
Keeping animals in zoos,0,0,0,0,0,0,0,0,0,0.9898798965,0,5,1313,1,1
Keeping animals in zoos,0,0,0,0,0,0,0,0,0,0.9968217421,0.572,8,1313,1,1
Keeping animals in zoos,0.2548446988,0.531133415,0.5349061986,0.6084698389,0,0,1,0,0,0.9999743726,0.48,25,1313,1,1
Keeping animals in zoos,0.8750948622,0.8195391221,0.7568107164,0.8458159935,0,0,1,0,0,0.9529137043,0.339,27,1314,0,0
Keeping animals in zoos,0.696970447,0.696970447,0.5406687117,0,0,0,1,0,0,0.9568113731,0.565,3,1314,0,0
Keeping animals in zoos,0.526094214,0.4703372469,0.5761258592,0.6359421618,0,0,0,0,0,0.9620904764,0.224,10,1314,0,0
Keeping animals in zoos,0.8750948622,0.8195391221,0.7568107164,0.8458159935,0,0,1,0,0,0.4543188916,0.404,12,1314,0,0
Keeping animals in zoos,0.8750948622,0.8195391221,0.7568107164,0.8458159935,0,0,1,0,0,0.7322910647,0.329,29,1314,0,0
Artists' freedom to express ideas,0.7864872762,0.7403052582,0.2699098813,0.4840420279,0.8832750589,0,1,0,0,0.0033721939,0.219,17,1315,0,0
Artists' freedom to express ideas,0.7864872762,0.7403052582,0.2699098813,0.4840420279,0.8832750589,0,1,0,0,0.0033721939,0.219,17,1315,0,0
Artists' freedom to express ideas,0.7622634183,0.8090497716,0,0,0.6959960771,0,1,0,0,0.0212535711,0.156,15,1316,0,0
Artists' freedom to express ideas,0.7622634183,0.8090497716,0,0,0.6904788767,0,1,0,0,0.9077052295,0.706,2,1316,0,0
Artists' freedom to express ideas,0.7828216547,0.8825789076,0.5039084404,0,0.6959960771,0,0,0,0,0.0088125464,0,12,1316,0,0
Artists' freedom to express ideas,0.7622634183,0.8090497716,0,0,0.6959960771,0,1,0,0,0.0748556932,0.146,17,1316,0,0
Artists' freedom to express ideas,0.7864872762,0.7403052582,0.2699098813,0.4840420279,0.6964619896,0,0,0,0,0.9774273615,0.465,27,1317,1,1
Artists' freedom to express ideas,0,0,0,0,0.6091955712,0,0,0,0,0.9790911927,0.397,10,1317,1,1
Artists' freedom to express ideas,0.4755327282,0.7403052582,0.2699098813,0.4840420279,0.8310002986,0,0,0,0,0.2160233859,0.412,7,1317,1,1
Artists' freedom to express ideas,0.7864872762,0,0,0,0,0,0,0,0,0.9894632675,0.632,8,1317,1,1
Artists' freedom to express ideas,0.7864872762,0.7505817022,0.5322506828,0.4840420279,0.5319359208,0,1,0,0,0.9901040366,0.453,30,1317,1,1
Artists' freedom to express ideas,0.7136508741,0.8584278163,0.7251052671,0.7655500167,0,0,1,0,0,0.5000255824,0,6,1318,1,0
Artists' freedom to express ideas,0.7864872762,0,0,0,0,0,0,0,0,0.140050187,0.471,13,1318,1,0
Artists' freedom to express ideas,0.7864872762,0.8584278163,0.7251052671,0.7655500167,0.8798096161,0,1,0,0,0.1618204139,0.296,26,1318,1,0
Artists' freedom to express ideas,0.8151228339,0.8151228339,0.6368410914,0,0.7352624756,0,1,0,0,0.1978634383,0.189,13,1319,1,0
Artists' freedom to express ideas,0.4755327282,0.7403052582,0.2699098813,0.4840420279,0.5426472432,0,0,0,0,0.9690564548,0,20,1319,1,0
Artists' freedom to express ideas,0.8151228339,0.8151228339,0.6368410914,0,0,0,1,0,0,0.9568113731,0,3,1319,1,0
Artists' freedom to express ideas,0.7864872762,0,0,0,0.7352624756,0,1,0,0,0.0429105874,0.259,9,1319,1,0
Artists' freedom to express ideas,0.8151228339,0.8151228339,0.6368410914,0.4840420279,0.6458027399,0,1,0,0,0.5001681781,0.083,34,1319,1,0
Artists' freedom to express ideas,0.7864872762,0.5694973775,0.4836550897,0.7985628124,0.5386430865,0,1,1,0,0.8173690914,0.244,20,1320,1,0
Artists' freedom to express ideas,0.7864872762,0.5694973775,0.4836550897,0.7985628124,0.6692188983,0,1,1,0,0.9031813057,0.224,23,1320,1,0
Artists' freedom to express ideas,0,0,0,0,0.4888230406,0,0,0,0,0.9821697033,0,3,1321,1,1
Artists' freedom to express ideas,0.7828216547,0.8825789076,0.5039084404,0,0.6978599606,0,0,0,0,0.9662449242,0.255,11,1321,1,1
Artists' freedom to express ideas,0,0,0,0,0.7494488965,0,0,0,0,0.9945031597,0.18,18,1321,1,1
Artists' freedom to express ideas,0.8151228339,0.8151228339,0.6368410914,0,0.6911156797,0,1,0,0,0.9877720586,0,4,1322,1,0
Artists' freedom to express ideas,0.7864872762,0.652810779,0.7496825363,0.5870358352,0.7908708017,0,1,0,0,0.0341414921,0.089,26,1322,1,0
Artists' freedom to express ideas,0.8151228339,0.8151228339,0.6368410914,0,0.8220697114,0,1,0,0,0.1945203214,0.075,32,1322,1,0
Artists' freedom to express ideas,0.7864872762,0.741522253,0.7148003752,0.7965378913,0,0,1,0,0,0.9017308911,0,13,1323,1,0
Artists' freedom to express ideas,0.7096608155,0.741522253,0.7148003752,0.7965378913,0,0,1,0,0,0.9749006316,0,7,1323,1,0
Artists' freedom to express ideas,0.7864872762,0,0,0,0,0,1,0,0,0.2058348248,0,5,1323,1,0
Artists' freedom to express ideas,0.7864872762,0.741522253,0.7148003752,0.7965378913,0.6385090767,0,1,1,0,0.808524686,0,15,1323,1,0
Artists' freedom to express ideas,0.7906337278,0.8564018238,0.7205910509,0.702825094,0.7591132867,1,1,0,0,0.0154963815,0.237,22,1324,1,0
Artists' freedom to express ideas,0.5006539865,0.6993573034,0.7205910509,0.702825094,0.7591132867,0,1,0,0,0.6404972685,0,6,1324,1,0
Artists' freedom to express ideas,0,0,0,0,0,0,0,0,0,0.0343532491,0.337,15,1324,1,0
Artists' freedom to express ideas,0.7906337278,0.8564018238,0.7205910509,0.702825094,0.7591132867,1,1,0,0,0.0154963815,0.237,22,1324,1,0
Artists' freedom to express ideas,0,0,0,0,0,0,0,0,0,0.6831184843,0,4,1325,1,0
Artists' freedom to express ideas,0,0,0,0,0,0,0,0,0,0.9372521355,0,3,1325,1,0
Artists' freedom to express ideas,0.7139294114,0.789330776,0.2472675538,0.7422260856,0.621612791,0,1,0,0,0.005640977,0.091,25,1325,1,0
Artists' freedom to express ideas,0.7139294114,0.789330776,0.657581977,0.7422260856,0.6101634127,0,1,0,0,0.0501338716,0.067,36,1325,1,0
Artists' freedom to express ideas,0.710996025,0.7441631811,0.3873180043,0.8562333773,0.7130159561,0,1,0,0,0.0559014618,0.344,15,1326,1,1
Artists' freedom to express ideas,0.710996025,0.7441631811,0.3873180043,0.8562333773,0.7130159561,0,1,0,0,0.0114418204,0.326,17,1326,1,1
Artists' freedom to express ideas,0,0,0,0,0.7240801143,0,1,0,0,0.8472327303,0,4,1327,0,0
Artists' freedom to express ideas,0.4755327282,0.7403052582,0.3770706964,0.4840420279,0,0,1,0,0,0.9673189059,0.38,10,1327,0,0
Artists' freedom to express ideas,0.4755327282,0.7403052582,0.3770706964,0.4840420279,0.7240801143,0,1,0,0,0.946170101,0.28,15,1327,0,0
Artists' freedom to express ideas,0.7864872762,0.8000094648,0.4833137374,0.5976989945,0.6372150782,1,0,0,0,0.8844590795,0.149,15,1328,1,0
Artists' freedom to express ideas,0.7864872762,0,0,0,0,0,0,0,0,0.9786477099,0.259,7,1328,1,0
Artists' freedom to express ideas,0,0,0,0,0.6372150782,0,0,0,0,0.402103387,0,7,1328,1,0
Artists' freedom to express ideas,0.7864872762,0.8000094648,0.4833137374,0.5976989945,0.6372150782,1,0,0,0,0.8844590795,0.149,15,1328,1,0
Artists' freedom to express ideas,0,0,0,0,0.7053364864,0,0,0,0,0.9336998637,0,4,1329,1,0
Artists' freedom to express ideas,0.6805998828,0.5239789957,0.7010557785,0.6877122178,0.7324135421,0,1,0,1,0.0214664518,0.341,16,1329,1,0
Artists' freedom to express ideas,0.6805998828,0.5239789957,0.7010557785,0.6877122178,0.7868035779,0,1,0,1,0.0320216154,0.279,21,1329,1,0
Artists' freedom to express ideas,0.7372608419,0,0,0,0.6815304795,0,1,0,0,0.9648435579,0,19,1330,1,1
Artists' freedom to express ideas,0.8081505764,0,0,0,0.7286111739,0,0,0,0,0.8364697029,0.291,11,1330,1,1
Artists' freedom to express ideas,0.8081505764,0,0,0,0.7701915479,0,1,0,0,0.9585318126,0.117,31,1330,1,1
Artists' freedom to express ideas,0.7012012221,0.819721479,0.5322506828,0.4840420279,0.6483373941,0,1,0,0,0.9999410578,0.246,25,1331,1,0
Artists' freedom to express ideas,0.7012012221,0.7505817022,0.5322506828,0,0,0,1,0,0,0.9977550378,0,2,1331,1,0
Artists' freedom to express ideas,0.5403015518,0.819721479,0.4131389464,0.4840420279,0.6483373941,0,1,0,0,0.9935360349,0.266,22,1331,1,0
Artists' freedom to express ideas,0.7012012221,0.819721479,0.5322506828,0.4840420279,0.6483373941,0,1,0,0,0.999986383,0.237,27,1331,1,0
Artists' freedom to express ideas,0.8151228339,0.8151228339,0.6368410914,0,0,0,1,1,0,0.9903373906,0,13,1332,1,1
Artists' freedom to express ideas,0.8151228339,0.8151228339,0.6368410914,0,0,0,1,1,0,0.8592792895,0,4,1332,1,1
Artists' freedom to express ideas,0.7828216547,0.8825789076,0.5039084404,0,0,0,0,0,0,0.9854200073,0,8,1332,1,1
Artists' freedom to express ideas,0.8151228339,0.8151228339,0.6368410914,0,0.7504588555,0,1,1,0,0.9980983378,0,19,1332,1,1
Artists' freedom to express ideas,0.793079728,0.8574310893,0.6275669554,0.7558207784,0.8712323286,0,1,0,0,0.7746262996,0.283,24,1333,1,0
Artists' freedom to express ideas,0.793079728,0.8574310893,0.6275669554,0.7558207784,0.8712323286,0,1,0,0,0.7746262996,0.283,24,1333,1,0
Artists' freedom to express ideas,0.8188617375,0.8188617375,0.6027376996,0.8380281952,1,0,0,0,0,0.9890500477,0.467,11,1334,1,1
Artists' freedom to express ideas,0.7012012221,0.7505817022,0.7205910509,0.702825094,1,0,1,0,0,0.9942888021,0.486,20,1334,1,1
Artists' freedom to express ideas,0.7012012221,0.7505817022,0.5322506828,0,0.4898627732,0,1,0,0,0.9995044806,0.381,11,1334,1,1
Artists' freedom to express ideas,0.7012012221,0.7505817022,0.5322506828,0,0,0,1,0,0,0.9997396815,0.706,3,1334,1,1
Artists' freedom to express ideas,0.5230218282,0.6993573034,0.7205910509,0.702825094,1,0,1,0,0,0.154361736,0.476,16,1334,1,1
Artists' freedom to express ideas,0.8188617375,0.8188617375,0.7205910509,0.8380281952,0.965376817,0,1,0,0,0.9999563747,0.452,46,1334,1,1
Advertising - positive or negative part of our lives,0,0,0,0,0.3517028781,0,0,0,0,0.7026669341,0,12,1335,0,0
Advertising - positive or negative part of our lives,0.612535509,0.7993750834,0.4453149119,0.6093691714,0.3766506378,0,1,0,0,0.0710119966,0,7,1335,0,0
Advertising - positive or negative part of our lives,0.9036877598,0.9036877598,0.6568062513,0,0,0,1,1,0,0.9931830347,0,11,1335,0,0
Advertising - positive or negative part of our lives,0.9036877598,0.9036877598,0.6982928278,0.6881558472,0.5286820004,0,1,1,0,0.0465688944,0,37,1335,0,0
Advertising - positive or negative part of our lives,0.9036877598,0.9036877598,0.6568062513,0.8375058529,0.7605628719,0,1,0,0,0.9899561717,0.309,29,1336,0,0
Advertising - positive or negative part of our lives,0.8186192739,0.8186192739,0,0,0,0,1,0,0,0.9829419857,0,2,1336,0,0
Advertising - positive or negative part of our lives,0.9036877598,0.9036877598,0.6568062513,0.8375058529,0.7605628719,0,1,0,0,0.8732189771,0.34,26,1336,0,0
Advertising - positive or negative part of our lives,0.9036877598,0.9036877598,0.6568062513,0.8375058529,0.7605628719,0,1,0,0,0.9899561717,0.309,29,1336,0,0
Advertising - positive or negative part of our lives,0.6680373798,0.9005572684,0.7640383991,0.8509235062,0.4337273441,0,1,0,0,0.6984834001,0,12,1337,0,0
Advertising - positive or negative part of our lives,0.6680373798,0.9005572684,0.7640383991,0.8509235062,0.4337273441,0,1,0,0,0.6984834001,0,12,1337,0,0
Advertising - positive or negative part of our lives,0.9036877598,0.9036877598,0.6568062513,0.8375058529,0.6222937535,0,1,0,0,0.999296861,0.204,26,1338,1,0
Advertising - positive or negative part of our lives,0.9036877598,0.9036877598,0.6568062513,0,0,0,1,0,0,0.9978605278,0,4,1338,1,0
Advertising - positive or negative part of our lives,0.6516189824,0.6938772318,0.6501087569,0.8375058529,0.6222937535,0,1,0,0,0.9224632833,0.247,21,1338,1,0
Advertising - positive or negative part of our lives,0.9036877598,0.9036877598,0.6568062513,0.8375058529,0.6222937535,0,1,0,0,0.9986443667,0.197,28,1338,1,0
Advertising - positive or negative part of our lives,0,0,0,0,0.2940719288,0,0,0,0,0.9369595558,0.477,12,1339,1,1
Advertising - positive or negative part of our lives,0.5021574038,0.6516189824,0.6501087569,0.8375058529,0.2528543712,0,1,0,0,0.8959342179,0.399,17,1339,1,1
Advertising - positive or negative part of our lives,0.6516189824,0.6938772318,0.6501087569,0.8375058529,0.2443270708,0,0,0,0,0.8641997587,0.342,7,1340,1,1
Advertising - positive or negative part of our lives,0.6516189824,0.6938772318,0.6501087569,0.8375058529,0.3461733458,0,0,0,0,0.7095636244,0.245,12,1340,1,1
Advertising - positive or negative part of our lives,0.8377252355,0.6082770866,0.6588565107,0.4822223141,0.5250105902,0,1,1,0,0.0044104317,0.081,36,1341,1,0
Advertising - positive or negative part of our lives,0.8377252355,0.6082770866,0.6588565107,0.4822223141,0.5597058491,0,1,1,0,0.0091491518,0.077,39,1341,1,0
Advertising - positive or negative part of our lives,0,0,0,0,0,0,0,0,0,0.781711589,0,4,1342,0,0
Advertising - positive or negative part of our lives,0.9036877598,0.9036877598,0.6805235912,0.8375058529,0,0,1,0,0,0.9965074633,0.455,21,1342,0,0
Advertising - positive or negative part of our lives,0.9036877598,0.9036877598,0.6568062513,0,0.567482515,0,1,0,0,0.9971126963,0.293,8,1342,0,0
Advertising - positive or negative part of our lives,0.6516189824,0.6938772318,0.6501087569,0.8375058529,0.2443270708,0,1,0,0,0.7633592128,0.578,12,1342,0,0
Advertising - positive or negative part of our lives,0.9036877598,0.9036877598,0.6805235912,0.8375058529,0,0,1,0,0,0.989637542,0.397,26,1342,0,0
Advertising - positive or negative part of our lives,0.9036877598,0.9036877598,0.6861898607,0.8852970701,0.6669476702,0,1,0,0,0.9989126183,0.307,17,1343,0,0
